

VNUM	NAME	RANK	TYPE	BATTLE_TYPE	LEVEL	SIZE	AI_FLAG	MOUNT_CAPACITY	RACE_FLAG	IMMUNE_FLAG	EMPIRE	FOLDER	ON_CLICK	ST	DX	HT	IQ	DAMAGE_MIN	DAMAGE_MAX	MAX_HP	REGEN_CYCLE	REGEN_PERCENT	GOLD_MIN	GOLD_MAX	EXP	DEF	ATTACK_SPEED	MOVE_SPEED	AGGRESSIVE_HP_PCT	AGGRESSIVE_SIGHT	ATTACK_RANGE	DROP_ITEM	RESURRECTION_VNUM	ENCHANT_CURSE	ENCHANT_SLOW	ENCHANT_POISON	ENCHANT_STUN	ENCHANT_CRITICAL	ENCHANT_PENETRATE	RESIST_SWORD	RESIST_TWOHAND	RESIST_DAGGER	RESIST_BELL	RESIST_FAN	RESIST_BOW	RESIST_FIRE	RESIST_ELECT	RESIST_MAGIC	RESIST_WIND	RESIST_POISON	DAM_MULTIPLY	SUMMON	DRAIN_SP	MOB_COLOR	POLYMORPH_ITEM	SKILL_LEVEL0	SKILL_VNUM0	SKILL_LEVEL1	SKILL_VNUM1	SKILL_LEVEL2	SKILL_VNUM2	SKILL_LEVEL3	SKILL_VNUM3	SKILL_LEVEL4	SKILL_VNUM4	SP_BERSERK	SP_STONESKIN	SP_GODSPEED	SP_DEATHBLOW	SP_REVIVE
101	??	PAWN	MONSTER	MELEE	1			0	ANIMAL		0	stray_dog	0	3	6	5	2	20	24	126	6	7	27	41	19	4	100	100	0	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	??	PAWN	MONSTER	MELEE	3			0	ANIMAL		0	wolf	0	4	9	7	2	23	28	162	6	7	35	51	49	6	100	100	25	2000	175	30028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	????	PAWN	MONSTER	MELEE	4			0	ANIMAL		0	wolf	0	8	5	10	3	25	30	182	6	7	38	57	64	7	100	130	25	2000	175	30069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	????	PAWN	MONSTER	MELEE	6			0	ANIMAL		0	wolf	0	9	12	6	3	25	38	225	6	7	45	68	94	9	100	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	?? ????	PAWN	MONSTER	MELEE	9			0	ANIMAL		0	wolf	0	14	8	16	4	33	41	297	6	7	56	84	139	13	80	100	25	2000	175	30027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	????	PAWN	MONSTER	MELEE	13			0	ANIMAL		0	wolf	0	21	21	10	5	40	49	412	6	7	71	105	199	17	100	100	25	2000	175	30070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	?? ????	S_PAWN	MONSTER	MELEE	16			0	ANIMAL		0	wolf	0	23	24	12	6	45	55	614	6	12	108	126	293	20	80	130	25	2000	175	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	???	PAWN	MONSTER	MELEE	7			0	ANIMAL		0	wild_boar	0	14	7	10	3	30	37	248	6	7	48	74	109	11	80	100	30	2000	175	30004	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	?? ???	S_PAWN	MONSTER	MELEE	10			0	ANIMAL		0	wild_boar	0	22	9	13	4	35	43	389	3	7	84	126	185	14	80	100	30	2000	175	30003	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	?	PAWN	MONSTER	POWER	12			0	ANIMAL		0	bear	0	20	10	20	5	39	47	381	6	7	66	101	184	16	100	70	40	2000	175	30010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111	???	S_PAWN	MONSTER	TANKER	15			0	ANIMAL		0	bear	0	14	17	34	6	44	53	572	6	7	114	171	275	19	100	100	40	2000	175	30071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	???	PAWN	MONSTER	POWER	19			0	ANIMAL		0	bear	0	36	14	21	7	50	62	624	6	7	92	138	481	24	100	100	40	2000	175	30053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	??	S_PAWN	MONSTER	POWER	21			0	ANIMAL		0	bear	0	35	15	23	8	54	66	845	6	12	141	189	638	26	100	100	40	2000	175	30072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	???	PAWN	MONSTER	POWER	18			0	ANIMAL		0	tiger	0	18	20	27	7	49	60	585	6	12	89	132	456	22	100	100	50	2000	175	30038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	??	S_PAWN	MONSTER	POWER	24		AGGR	0	ANIMAL		0	tiger	0	25	17	45	9	59	72	1007	10	22	141	185	728	35	100	130	50	2000	175	30023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131	???? ??	KNIGHT	MONSTER	MELEE	8		AGGR	0	ANIMAL	CURSE	0	wolf	0	16	16	31	8	32	39	435	6	7	90	137	248	12	100	120	100	2000	175	30028	0	10	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	???? ????	S_KNIGHT	MONSTER	MELEE	9		AGGR	0	ANIMAL	CURSE	0	wolf	0	23	24	31	8	33	41	743	6	7	120	182	555	13	100	120	100	2000	175	30069	0	10	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133	???? ????	KNIGHT	MONSTER	MELEE	11		AGGR	0	ANIMAL	CURSE	0	wolf	0	16	16	32	8	37	45	564	6	7	116	174	338	15	100	120	100	2000	175	0	0	10	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	???? ?? ????	S_KNIGHT	MONSTER	MELEE	14		AGGR	0	ANIMAL	CURSE	0	wolf	0	24	33	32	8	42	51	1110	6	7	174	263	855	18	100	120	100	2000	175	30027	0	10	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135	???? ????	KNIGHT	MONSTER	MELEE	18		AGGR	0	ANIMAL	CURSE	0	wolf	0	17	25	25	8	49	60	936	6	7	174	263	548	22	100	120	100	2000	175	30070	0	10	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	???? ?? ????	S_KNIGHT	MONSTER	MELEE	21		AGGR	0	ANIMAL	CURSE	0	wolf	0	33	17	17	8	42	78	1761	6	12	191	231	1088	26	100	120	100	2000	175	0	0	10	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	???? ???	KNIGHT	MONSTER	MELEE	12		AGGR	0	ANIMAL	CURSE	0	wild_boar	0	35	17	26	9	30	56	610	6	7	125	186	368	16	100	120	100	2000	175	30004	0	10	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138	???? ?? ???	S_KNIGHT	MONSTER	MELEE	15		AGGR	0	ANIMAL	CURSE	0	wild_boar	0	35	18	26	9	44	53	1192	6	7	186	279	915	19	100	120	100	2000	175	30003	0	10	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139	???? ?	KNIGHT	MONSTER	MELEE	17		AGGR	0	ANIMAL	CURSE	0	bear	0	36	18	27	9	37	68	875	6	7	167	249	518	21	100	120	100	2000	175	30010	0	10	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	???? ???	S_KNIGHT	MONSTER	TANKER	20		AGGR	0	ANIMAL	CURSE	0	bear	0	36	19	27	9	52	64	1134	6	7	240	360	1215	25	100	120	100	2000	175	30071	0	10	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141	???? ???	KNIGHT	MONSTER	TANKER	24		AGGR	0	ANIMAL	CURSE	0	bear	0	37	19	28	9	46	85	785	6	7	225	338	728	29	100	120	100	2000	175	30053	0	10	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142	???? ??	S_KNIGHT	MONSTER	TANKER	26		AGGR	0	ANIMAL	CURSE	0	bear	0	37	19	28	9	62	76	1045	4	12	185	204	1234	31	100	120	100	2000	175	30072	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143	???? ???	KNIGHT	MONSTER	POWER	24		AGGR	0	ANIMAL	CURSE	0	tiger	0	28	38	19	9	52	79	1104	6	12	225	267	728	29	100	120	100	2000	175	30038	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144	???? ??	S_KNIGHT	MONSTER	POWER	29		AGGR	0	ANIMAL	CURSE	0	tiger	0	39	30	20	10	53	98	784	9	22	218	251	968	34	100	120	100	2000	175	30023	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151	?? ???? ??	S_KNIGHT	MONSTER	MELEE	9			0	ANIMAL		0	wolf	0	14	8	16	4	33	41	450	6	5	188	264	546	15	80	100	25	2000	175	0	0	0	0	0	0	5	3	20	20	20	5	10	30	10	10	10	0	50	2	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
152	?? ???? ??	S_KNIGHT	MONSTER	MELEE	16			0	ANIMAL		0	wolf	0	23	24	12	6	45	55	800	3	10	150	225	1261	25	80	130	25	2000	175	0	0	0	0	0	0	20	20	20	20	5	5	0	5	0	0	0	0	0	2	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
153	?? ??? ??	S_KNIGHT	MONSTER	MELEE	10			0	ANIMAL		0	wild_boar	0	22	7	13	4	35	43	600	6	5	90	210	1455	15	80	100	30	2000	175	0	0	0	0	0	0	20	20	20	20	5	5	0	5	0	0	0	0	0	2	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154	?? ??	S_KNIGHT	MONSTER	POWER	21			0	ANIMAL		0	bear	0	45	5	23	8	64	78	1200	8	10	225	300	1551	26	100	100	40	2000	175	0	0	0	0	0	0	0	20	20	20	5	5	0	5	0	0	0	0	0	2	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155	?? ??	S_KNIGHT	MONSTER	POWER	24		AGGR	0	ANIMAL		0	tiger	0	25	17	45	9	59	72	1200	15	20	266	381	1918	29	100	130	50	2000	175	0	0	0	0	0	0	20	20	20	20	5	5	0	5	0	0	0	0	0	2	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171	??? ??	PAWN	MONSTER	MELEE	1			0	ANIMAL		0	stray_dog	0	3	6	5	2	24	29	101	6	7	27	41	14	4	100	100	0	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172	??? ??	PAWN	MONSTER	MELEE	3			0	ANIMAL		0	wolf	0	4	9	7	2	28	34	129	6	7	35	51	34	6	100	100	25	2000	175	30028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
173	??? ????	PAWN	MONSTER	MELEE	4			0	ANIMAL		0	wolf	0	8	5	10	3	30	36	145	6	7	38	57	45	7	100	130	25	2000	175	30069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
174	??? ????	PAWN	MONSTER	MELEE	6			0	ANIMAL		0	wolf	0	9	12	6	3	30	46	180	6	7	45	68	66	9	100	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
175	??? ?? ????	PAWN	MONSTER	MELEE	9			0	ANIMAL		0	wolf	0	14	8	16	4	40	49	238	6	7	56	84	98	13	80	100	25	2000	175	30027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
176	??? ????	PAWN	MONSTER	MELEE	13			0	ANIMAL		0	wolf	0	21	21	10	5	48	59	329	6	7	71	105	139	17	100	100	25	2000	175	30070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
